project,sample,file_path,qualified_ratio,mean_depth,median_depth
PRJEB34042,ERR10813456,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813456.depth.txt,1.0,12052.030082101806,2474.0
PRJEB34042,ERR10812991,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812991.depth.txt,1.0,17300.31382594417,5715.0
PRJEB34042,ERR10813032,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813032.depth.txt,0.9894252873563218,3693.167487684729,1625.0
PRJEB34042,ERR10813392,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813392.depth.txt,1.0,6729.990344827586,5155.0
PRJEB34042,ERR10813664,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813664.depth.txt,0.9672906403940886,1911.8780952380955,903.0
PRJEB34042,ERR10813631,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813631.depth.txt,1.0,95953.254909688,15641.0
PRJEB34042,ERR10813707,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813707.depth.txt,1.0,137664.29517241378,30155.0
PRJEB34042,ERR10813430,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813430.depth.txt,0.9997372742200328,57164.11658456486,6750.0
PRJEB34042,ERR10813637,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813637.depth.txt,0.9990147783251232,5397.735763546798,1675.0
PRJEB34042,ERR10813630,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813630.depth.txt,0.9988834154351396,2748.660492610837,1483.0
PRJEB34042,ERR10813488,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813488.depth.txt,0.9971100164203612,9496.903776683088,1906.0
PRJEB34042,ERR10813616,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813616.depth.txt,0.9990147783251232,3023.1490311986863,1406.0
PRJEB34042,ERR10813451,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813451.depth.txt,1.0,57263.97937602627,20074.0
PRJEB34042,ERR10813699,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813699.depth.txt,0.9407553366174056,1514.0201642036125,801.0
PRJEB34042,ERR10813063,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813063.depth.txt,0.9741871921182266,2022.263054187192,1037.0
PRJEB34042,ERR10812892,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812892.depth.txt,1.0,328952.9135632184,30084.0
PRJEB34042,ERR10812956,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812956.depth.txt,1.0,19332.165320197044,4463.0
PRJEB34042,ERR10813048,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813048.depth.txt,0.959343185550082,3191.5102791461413,1134.0
PRJEB34042,ERR10813558,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813558.depth.txt,0.9935632183908046,2715.2941871921184,1552.0
PRJEB34042,ERR10812876,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812876.depth.txt,0.9041050903119868,9222.060952380953,1175.0
PRJEB34042,ERR10813468,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813468.depth.txt,0.9999343185550084,9013.184236453202,3520.0
PRJEB34042,ERR10813179,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813179.depth.txt,0.9817405582922824,4130.393234811166,1146.0
PRJEB34042,ERR10813483,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813483.depth.txt,1.0,35659.16052545156,12140.0
PRJEB34042,ERR10813051,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813051.depth.txt,0.9042364532019704,2467.8202298850574,752.0
PRJEB34042,ERR10813505,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813505.depth.txt,1.0,21893.14935960591,5931.0
PRJEB34042,ERR10813580,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813580.depth.txt,1.0,23043.973727422,6174.0
PRJEB34042,ERR10812898,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812898.depth.txt,0.9999343185550084,48394.76571428571,8748.0
PRJEB34042,ERR10812928,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812928.depth.txt,0.9416091954022988,2029.3381280788176,760.0
PRJEB34042,ERR10813686,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813686.depth.txt,1.0,14174.40577996716,3104.0
PRJEB34042,ERR10813098,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813098.depth.txt,0.999343185550082,22475.271001642035,3720.0
PRJEB34042,ERR10813019,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813019.depth.txt,0.9892282430213464,4301.682430213465,1514.0
PRJEB34042,ERR10813579,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813579.depth.txt,0.9999343185550084,8486.383908045977,2693.0
PRJEB34042,ERR10813173,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813173.depth.txt,0.999408866995074,7295.1802955665025,3219.0
PRJEB34042,ERR10813100,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813100.depth.txt,0.9169786535303776,4244.719934318555,763.0
PRJEB34042,ERR10813572,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813572.depth.txt,0.9174384236453202,4964.878226600985,718.0
PRJEB34042,ERR10813495,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813495.depth.txt,0.9998686371100164,15782.17234811166,4896.0
PRJEB34042,ERR10813459,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813459.depth.txt,1.0,33331.341543513954,4945.0
PRJEB34042,ERR10813514,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813514.depth.txt,0.9999343185550084,22091.894909688013,5961.0
PRJEB34042,ERR10813607,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813607.depth.txt,0.9944827586206896,8036.926305418719,2260.0
PRJEB34042,ERR10813589,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813589.depth.txt,1.0,31652.125057471265,11200.0
PRJEB34042,ERR10813418,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813418.depth.txt,0.9351067323481116,2101.3878489326767,645.0
PRJEB34042,ERR10813602,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813602.depth.txt,0.98935960591133,7590.747126436781,1388.0
PRJEB34042,ERR10813077,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813077.depth.txt,0.999343185550082,15980.59973727422,3752.0
PRJEB34042,ERR10813504,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813504.depth.txt,0.9999343185550084,10208.179441707718,3106.0
PRJEB34042,ERR10813443,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813443.depth.txt,0.9657799671592776,2829.708571428572,867.0
PRJEB34042,ERR10813403,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813403.depth.txt,0.9739901477832512,1605.3560591133005,870.0
PRJEB34042,ERR10813452,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813452.depth.txt,0.9999343185550084,28892.641116584564,5482.0
PRJEB34042,ERR10813648,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813648.depth.txt,0.9988177339901478,43047.2039408867,3660.0
PRJEB34042,ERR10812932,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812932.depth.txt,0.999343185550082,6647.406174055829,3541.0
PRJEB34042,ERR10813634,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813634.depth.txt,1.0,48187.21720853859,8981.0
PRJEB34042,ERR10813333,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813333.depth.txt,0.987192118226601,8210.178456486043,1607.0
PRJEB34042,ERR10812967,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812967.depth.txt,0.999408866995074,21315.59835796388,2055.0
PRJEB34042,ERR10813531,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813531.depth.txt,0.9999343185550084,22272.29392446634,3853.0
PRJEB34042,ERR10813094,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813094.depth.txt,1.0,72404.30325123153,10851.0
PRJEB34042,ERR10813258,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813258.depth.txt,0.9978325123152708,17832.04420361248,3079.0
PRJEB34042,ERR10813352,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813352.depth.txt,0.996847290640394,9583.575500821018,2212.0
PRJEB34042,ERR10813553,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813553.depth.txt,1.0,106406.82403940886,15923.0
PRJEB34042,ERR10813357,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813357.depth.txt,0.9876518883415436,8162.339507389162,1438.0
PRJEB34042,ERR10813682,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813682.depth.txt,0.999343185550082,8501.212873563218,2697.0
PRJEB34042,ERR10813644,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813644.depth.txt,0.999343185550082,23207.63724137931,2810.0
PRJEB34042,ERR10813703,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813703.depth.txt,0.9999343185550084,18579.580886699507,5014.0
PRJEB34042,ERR10813084,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813084.depth.txt,0.9121182266009852,2207.0292282430214,696.0
PRJEB34042,ERR10813435,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813435.depth.txt,1.0,27240.94679802956,4706.0
PRJEB34042,ERR10813215,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813215.depth.txt,0.9134318555008212,4692.766371100164,691.0
PRJEB34042,ERR10813512,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813512.depth.txt,0.937536945812808,1084.8816420361247,770.0
PRJEB34042,ERR10813506,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813506.depth.txt,0.971231527093596,6426.952643678161,1162.0
PRJEB34042,ERR10813494,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813494.depth.txt,0.9408866995073892,6882.535697865353,924.0
PRJEB34042,ERR10813712,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813712.depth.txt,1.0,25344.045845648605,16374.0
PRJEB34042,ERR10813142,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813142.depth.txt,0.9572413793103448,2130.84197044335,767.0
PRJEB34042,ERR10813529,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813529.depth.txt,0.9999343185550084,4598.213464696223,3053.0
PRJEB34042,ERR10813573,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813573.depth.txt,0.999408866995074,10344.170114942528,2905.0
PRJEB34042,ERR10813132,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813132.depth.txt,0.9739901477832512,24522.93175697865,1904.0
PRJEB34042,ERR10813433,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813433.depth.txt,1.0,32099.60597701149,4398.0
PRJEB34042,ERR10813450,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813450.depth.txt,0.9990147783251232,10290.142003284072,1923.0
PRJEB34042,ERR10813413,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813413.depth.txt,1.0,110628.71862068966,76864.0
PRJEB34042,ERR10812923,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812923.depth.txt,0.999343185550082,15478.862200328407,5030.0
PRJEB34042,ERR10813235,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813235.depth.txt,0.9942857142857144,14355.583251231526,1753.0
PRJEB34042,ERR10813178,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813178.depth.txt,1.0,17933.706338259442,5511.0
PRJEB34042,ERR10813251,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813251.depth.txt,0.9713628899835796,6820.8416420361245,1193.0
PRJEB34042,ERR10812999,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812999.depth.txt,0.999408866995074,83323.67553366174,6995.0
PRJEB34042,ERR10813111,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813111.depth.txt,0.999343185550082,60696.35908045977,5297.0
PRJEB34042,ERR10813536,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813536.depth.txt,0.9986863711001642,27343.123875205256,3004.0
PRJEB34042,ERR10813567,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813567.depth.txt,0.9673563218390804,8729.306272577996,1215.0
PRJEB34042,ERR10813372,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813372.depth.txt,1.0,8572.883152709359,2129.0
PRJEB34042,ERR10813694,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813694.depth.txt,0.9945484400656814,7126.651559934318,1481.0
PRJEB34042,ERR10813691,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813691.depth.txt,1.0,13075.4681773399,5771.0
PRJEB34042,ERR10813687,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813687.depth.txt,0.9802955665024632,5065.8416420361245,1114.0
PRJEB34042,ERR10813389,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813389.depth.txt,1.0,32056.638489326764,7100.0
PRJEB34042,ERR10813578,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813578.depth.txt,1.0,67705.6202955665,38582.0
PRJEB34042,ERR10813293,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813293.depth.txt,0.9847619047619048,9321.28472906404,1642.0
PRJEB34042,ERR10813467,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813467.depth.txt,1.0,34944.19829228243,15375.0
PRJEB34042,ERR10813214,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813214.depth.txt,0.9916584564860428,6433.965320197044,1842.0
PRJEB34042,ERR10813406,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813406.depth.txt,0.9971100164203612,21502.207422003285,1749.0
PRJEB34042,ERR10813034,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813034.depth.txt,1.0,32811.2033497537,11466.0
PRJEB34042,ERR10813183,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813183.depth.txt,0.98495894909688,5248.616551724138,1784.0
PRJEB34042,ERR10813564,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813564.depth.txt,1.0,16942.951527093595,10865.0
PRJEB34042,ERR10813380,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813380.depth.txt,0.9999343185550084,59983.32269293925,13677.0
PRJEB34042,ERR10813277,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813277.depth.txt,0.9111986863711,2073.346141215107,794.0
PRJEB34042,ERR10813718,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813718.depth.txt,0.9999343185550084,52591.94811165846,13593.0
PRJEB34042,ERR10813248,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813248.depth.txt,1.0,11752.4347454844,4009.0
PRJEB34042,ERR10813527,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813527.depth.txt,0.9999343185550084,19089.3121182266,2997.0
PRJEB34042,ERR10812878,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812878.depth.txt,1.0,81229.53412151067,17455.0
PRJEB34042,ERR10813734,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813734.depth.txt,1.0,436743.66548440064,41373.0
PRJEB34042,ERR10813237,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813237.depth.txt,0.9992118226600986,35752.06338259442,5357.0
PRJEB34042,ERR10813115,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813115.depth.txt,0.996912972085386,15267.466863711,2105.0
PRJEB34042,ERR10813075,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813075.depth.txt,0.986272577996716,3460.022200328407,1174.0
PRJEB34042,ERR10813246,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813246.depth.txt,1.0,115670.62935960593,11929.0
PRJEB34042,ERR10813446,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813446.depth.txt,1.0,208798.6643678161,11806.0
PRJEB34042,ERR10813003,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813003.depth.txt,0.99816091954023,9260.484400656816,2688.0
PRJEB34042,ERR10813124,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813124.depth.txt,0.984039408866995,5800.069359605911,1303.0
PRJEB34042,ERR10813236,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813236.depth.txt,1.0,23788.280328407225,5782.0
PRJEB34042,ERR10813540,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813540.depth.txt,1.0,46140.78403940886,9104.0
PRJEB34042,ERR10813710,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813710.depth.txt,0.9999343185550084,11847.422331691298,4088.0
PRJEB34042,ERR10813661,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10813661.depth.txt,1.0,21083.86174055829,9239.0
PRJEB34042,ERR10812986,../data/processed_data/lofreq_strict_bam_depth/PRJEB34042/ERR10812986.depth.txt,0.999408866995074,13341.87711001642,3494.0
