project,project_label,param_id,TreeCluster_threshold,SampleID,n_haplotypes,n_TreeCluster_branches,TreeCluster_combo,branches,total_frequency,is_cross_branch_sample,year_month,geo_stratum,stratum,virus_clade,collection_date,geographic_location
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780050,2,1,C3,C3,1.0,False,2022-06,Sydney,2022-06|Sydney,A.D.3,2022/6/6,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780067,2,2,C4+C6,C4+C6,1.0,True,2022-05,Sydney,2022-05|Sydney,A.D.3.1,2022/5/30,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780110,2,1,C3,C3,0.9999999999999999,False,2022-07,Sydney,2022-07|Sydney,A.D.3,2022/7/2,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780112,2,2,C4+C6,C4+C6,1.0,True,2022-08,Sydney,2022-08|Sydney,A.D.3.1,2022/8/3,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780115,2,2,C5+C6,C5+C6,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/17,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780117,1,1,C3,C3,1.0,False,2022-08,Sydney,2022-08|Sydney,A.D.3,2022/8/7,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780119,2,2,C4+C6,C4+C6,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/2,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780123,2,2,C4+C6,C4+C6,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/19,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780126,2,2,C4+C6,C4+C6,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/19,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780127,2,2,C4+C6,C4+C6,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/21,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780146,2,2,C4+C6,C4+C6,1.0,True,2022-05,Sydney,2022-05|Sydney,A.D.3.1,2022/5/28,Australia: Sydney
