sample,status,seconds,fasta,json,log,project,project_label,param_id,tf,t
SRR26780117,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780117/SRR26780117.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780117/SRR26780117.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780117/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780119,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780119/SRR26780119.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780119/SRR26780119.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780119/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780126,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780126/SRR26780126.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780126/SRR26780126.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780126/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780115,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780115/SRR26780115.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780115/SRR26780115.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780115/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780187,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780187/SRR26780187.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780187/SRR26780187.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780187/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780127,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780127/SRR26780127.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780127/SRR26780127.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780127/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780211,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780211/SRR26780211.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780211/SRR26780211.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780211/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780216,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780216/SRR26780216.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780216/SRR26780216.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780216/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780213,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780213/SRR26780213.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780213/SRR26780213.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780213/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780123,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780123/SRR26780123.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780123/SRR26780123.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780123/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
