project,project_label,SampleID,n_haplotypes,mean_depth,median_depth,qualified_ratio,haplotype_count_class
PRJNA1130896,United States,SRR29692939,2,8471.618981937603,6868.0,0.9975697865353038,2
PRJNA1130896,United States,SRR29692926,1,1163.2269950738917,949.0,0.966896551724138,1
PRJNA1130896,United States,SRR29692928,2,12082.818587848931,8800.0,0.9947454844006568,2
PRJNA1130896,United States,SRR29692943,2,15499.595467980296,12568.0,0.9974384236453202,2
PRJNA1130896,United States,SRR29692824,2,11356.711133004928,9044.0,0.9985550082101806,2
PRJNA1130896,United States,SRR29692935,1,2679.382594417077,1730.0,0.9664367816091954,1
PRJNA1130896,United States,SRR29692977,2,8910.139770114942,6499.0,0.9959934318555008,2
PRJNA1130896,United States,SRR29692981,2,2285.7732676518885,1868.0,0.994351395730706,2
PRJNA1130896,United States,SRR29692889,2,4434.04302134647,3292.0,0.9957963875205256,2
PRJNA1130896,United States,SRR29692974,2,2111.1575041050905,1540.0,0.988768472906404,2
PRJNA1130896,United States,SRR29692975,2,1603.1644006568145,1235.0,0.9890968801313628,2
PRJNA1130896,United States,SRR29693060,2,10233.213990147784,9430.0,0.9980295566502464,2
PRJNA1130896,United States,SRR29692887,2,4574.692807881774,2827.0,0.9882430213464696,2
PRJNA1130896,United States,SRR29692884,2,1192.528604269294,785.0,0.909688013136289,2
PRJNA1130896,United States,SRR29692854,2,1145.712512315271,763.0,0.912183908045977,2
PRJNA1130896,United States,SRR29692857,2,4070.697274220033,2061.0,0.9824630541871922,2
PRJNA1130896,United States,SRR29693059,2,5928.882298850574,3236.0,0.9880459770114942,2
PRJNA1130896,United States,SRR29693058,2,1773.7184236453202,1236.0,0.9632840722495896,2
PRJNA1130896,United States,SRR29693057,2,728.7423973727422,555.0,0.9198686371100164,2
