project,SampleID,n_haplotypes,project_label,project_short,clade,collection_date,collection_dt,year_month,country,state,city,geographic_location,geo_stratum,qualified_ratio,mean_depth,median_depth,sort_date,global_sample_index,global_short_label,stratum
PRJNA1130896,SRR29679732,3,United States,US,A.D.1.6,2023/11/1,2023-11-01,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.999671592775041,19998.636781609195,18869.0,2023-11-01,4,US-S04,2023-11|Oregon
PRJNA1130896,SRR29679729,2,United States,US,A.D.1.5,2023/11/3,2023-11-03,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9892939244663382,14282.270738916255,9300.0,2023-11-03,5,US-S05,2023-11|Oregon
PRJNA1130896,SRR29679728,2,United States,US,A.D.1.5,2023/11/4,2023-11-04,2023-11,USA,OR,Portland,"USA: Washington, Clark County",Washington,0.9921182266009853,8143.270935960591,6028.0,2023-11-04,6,US-S06,2023-11|Washington
PRJNA1130896,SRR29679823,2,United States,US,A.D.1.5,2023/11/7,2023-11-07,2023-11,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.9930377668308704,12173.06633825944,8616.0,2023-11-07,7,US-S07,2023-11|Oregon
PRJNA1130896,SRR29679723,2,United States,US,A.D.1.5,2023/11/10,2023-11-10,2023-11,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.9971100164203612,18670.496354679803,14679.0,2023-11-10,8,US-S08,2023-11|Oregon
PRJNA1130896,SRR29679720,2,United States,US,A.D.3,2023/11/12,2023-11-12,2023-11,USA,OR,Portland,"USA: Maryland, Queen Anne's County",Maryland,0.9802298850574712,3100.831198686371,2320.0,2023-11-12,9,US-S09,2023-11|Maryland
PRJNA1130896,SRR29679721,3,United States,US,A.D.1,2023/11/12,2023-11-12,2023-11,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.9860098522167488,9977.640328407226,4822.0,2023-11-12,10,US-S10,2023-11|Oregon
PRJNA1130896,SRR29679826,2,United States,US,A.D.3.2,2023/11/12,2023-11-12,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9894909688013136,13011.891362889985,8529.0,2023-11-12,11,US-S11,2023-11|Oregon
PRJNA1130896,SRR29679834,1,United States,US,A.D.5.3,2023/11/12,2023-11-12,2023-11,USA,OR,Portland,"USA: Oregon, Yamhill County",Oregon,0.9961247947454844,5037.037044334976,3658.0,2023-11-12,12,US-S12,2023-11|Oregon
PRJNA1130896,SRR29679843,2,United States,US,A.D.5.3,2023/11/14,2023-11-14,2023-11,USA,OR,Portland,"USA: Oregon, Yamhill County",Oregon,0.9965188834154352,9682.788243021349,7052.0,2023-11-14,13,US-S13,2023-11|Oregon
PRJNA1130896,SRR29679844,3,United States,US,A.D.5.2,2023/11/14,2023-11-14,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9389819376026272,1249.6208866995073,922.0,2023-11-14,14,US-S14,2023-11|Oregon
PRJNA1130896,SRR29679830,2,United States,US,A.D.1,2023/11/17,2023-11-17,2023-11,USA,OR,Portland,USA: Oregon,Oregon,0.9902134646962232,12038.287159277505,9146.0,2023-11-17,15,US-S15,2023-11|Oregon
PRJNA1130896,SRR29679833,2,United States,US,A.D.1,2023/11/17,2023-11-17,2023-11,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.9337931034482758,1613.0233825944172,1092.0,2023-11-17,16,US-S16,2023-11|Oregon
PRJNA1130896,SRR29679837,2,United States,US,A.D.1.5,2023/11/17,2023-11-17,2023-11,USA,OR,Portland,"USA: Washington, Clark County",Washington,0.9930377668308704,9857.319408866995,6878.0,2023-11-17,17,US-S17,2023-11|Washington
PRJNA1130896,SRR29679854,2,United States,US,A.D.1.5,2023/11/18,2023-11-18,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9949425287356322,6612.8298193760265,5032.0,2023-11-18,18,US-S18,2023-11|Oregon
PRJNA1130896,SRR29679842,2,United States,US,A.D.1.5,2023/11/19,2023-11-19,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9724137931034482,1008.6696880131362,818.0,2023-11-19,19,US-S19,2023-11|Oregon
PRJNA1130896,SRR29679864,2,United States,US,A.D.1.5,2023/11/19,2023-11-19,2023-11,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.9716912972085386,2259.670213464696,1646.0,2023-11-19,20,US-S20,2023-11|Oregon
PRJNA1130896,SRR29679754,2,United States,US,A.D.1.5,2023/11/21,2023-11-21,2023-11,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.960656814449918,2253.033825944171,1531.0,2023-11-21,21,US-S21,2023-11|Oregon
PRJNA1130896,SRR29679851,2,United States,US,A.D.1.5,2023/11/21,2023-11-21,2023-11,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.996912972085386,21335.30548440066,15205.0,2023-11-21,22,US-S22,2023-11|Oregon
PRJNA1130896,SRR29679716,2,United States,US,A.D.1.5,2023/11/23,2023-11-23,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9795073891625616,4954.016880131363,3267.0,2023-11-23,23,US-S23,2023-11|Oregon
PRJNA1130896,SRR29679712,2,United States,US,A.D.1.8,2023/11/25,2023-11-25,2023-11,USA,OR,Portland,"USA: Washington, Clark County",Washington,0.9921182266009853,11484.36183908046,7563.0,2023-11-25,24,US-S24,2023-11|Washington
PRJNA1130896,SRR29679713,1,United States,US,A.D.1.5,2023/11/25,2023-11-25,2023-11,USA,OR,Portland,"USA: Oregon, Columbia County",Oregon,0.9978981937602628,21750.16880131363,17836.0,2023-11-25,25,US-S25,2023-11|Oregon
PRJNA1130896,SRR29679709,3,United States,US,A.D.5.2,2023/11/28,2023-11-28,2023-11,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.9948768472906404,9441.92,6259.0,2023-11-28,26,US-S26,2023-11|Oregon
PRJNA1130896,SRR29679852,2,United States,US,A.D.1.5,2023/11/30,2023-11-30,2023-11,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.9965188834154352,12806.287816091954,9072.0,2023-11-30,27,US-S27,2023-11|Oregon
PRJNA1130896,SRR29679706,2,United States,US,A.D.3.2,2023/12/1,2023-12-01,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9944170771756978,16599.30935960591,13422.0,2023-12-01,28,US-S28,2023-12|Oregon
PRJNA1130896,SRR29692831,2,United States,US,A.D.1.5,2023/12/2,2023-12-02,2023-12,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.9960591133004926,4960.269885057472,3290.0,2023-12-02,29,US-S29,2023-12|Oregon
PRJNA1130896,SRR29679738,2,United States,US,A.D.1.5,2023/12/5,2023-12-05,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9982922824302136,12587.713628899835,10402.0,2023-12-05,30,US-S30,2023-12|Oregon
PRJNA1130896,SRR29692828,2,United States,US,A.D.1.9,2023/12/5,2023-12-05,2023-12,USA,OR,Portland,"USA: Oregon, Lane County",Oregon,0.9301149425287356,2695.0868965517243,1607.0,2023-12-05,31,US-S31,2023-12|Oregon
PRJNA1130896,SRR29679737,2,United States,US,A.D.5.2,2023/12/6,2023-12-06,2023-12,USA,OR,Portland,"USA: Washington, Clark County",Washington,0.9978981937602628,42252.50009852217,34270.0,2023-12-06,32,US-S32,2023-12|Washington
PRJNA1130896,SRR29679704,2,United States,US,A.D.5.2,2023/12/7,2023-12-07,2023-12,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.979047619047619,3749.7626272578,2546.0,2023-12-07,33,US-S33,2023-12|Oregon
PRJNA1130896,SRR29692881,2,United States,US,A.D.1.5,2023/12/10,2023-12-10,2023-12,USA,OR,Portland,"USA: Washington, Clark County",Washington,0.9894252873563218,5383.989556650246,3339.0,2023-12-10,34,US-S34,2023-12|Washington
PRJNA1130896,SRR29692965,2,United States,US,A.D.5.2,2023/12/10,2023-12-10,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9920525451559934,7593.937996715927,5393.0,2023-12-10,35,US-S35,2023-12|Oregon
PRJNA1130896,SRR29679809,2,United States,US,A.D.1.9,2023/12/11,2023-12-11,2023-12,USA,OR,Portland,"USA: Oregon, Lane County",Oregon,0.996847290640394,14504.623776683087,12146.0,2023-12-11,36,US-S36,2023-12|Oregon
PRJNA1130896,SRR29692875,2,United States,US,A.D.1.5,2023/12/11,2023-12-11,2023-12,USA,OR,Portland,"USA: Washington, Clark County",Washington,0.9967816091954024,9685.483612479477,7669.0,2023-12-11,37,US-S37,2023-12|Washington
PRJNA1130896,SRR29692880,2,United States,US,A.D.1.5,2023/12/12,2023-12-12,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9969786535303776,13859.466666666667,9607.0,2023-12-12,38,US-S38,2023-12|Oregon
PRJNA1130896,SRR29679753,2,United States,US,A.D.1.9,2023/12/13,2023-12-13,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9992118226600986,27000.21024630541,23653.0,2023-12-13,39,US-S39,2023-12|Oregon
PRJNA1130896,SRR29692865,2,United States,US,A.D.1.5,2023/12/13,2023-12-13,2023-12,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.9854187192118228,3585.8921510673235,1793.0,2023-12-13,40,US-S40,2023-12|Oregon
PRJNA1130896,SRR29692967,2,United States,US,A.D.1.6,2023/12/13,2023-12-13,2023-12,USA,OR,Portland,USA: Oregon,Oregon,0.9175697865353036,833.288472906404,540.0,2023-12-13,41,US-S41,2023-12|Oregon
PRJNA1130896,SRR29692873,2,United States,US,A.D.3.1,2023/12/16,2023-12-16,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9971100164203612,7847.809064039408,7302.0,2023-12-16,42,US-S42,2023-12|Oregon
PRJNA1130896,SRR29692998,2,United States,US,A.D.1.5,2023/12/17,2023-12-17,2023-12,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.999343185550082,9013.43408866995,8334.0,2023-12-17,43,US-S43,2023-12|Oregon
PRJNA1130896,SRR29692929,2,United States,US,A.D.1.5,2023/12/22,2023-12-22,2023-12,USA,OR,Portland,"USA: Oregon, Columbia County",Oregon,0.999671592775041,21231.16985221675,16629.0,2023-12-22,44,US-S44,2023-12|Oregon
PRJNA1130896,SRR29692933,2,United States,US,A.D.1.5,2023/12/23,2023-12-23,2023-12,USA,OR,Portland,"USA: Oregon, Washington County",Oregon,0.9879146141215108,7835.645714285714,4684.0,2023-12-23,45,US-S45,2023-12|Oregon
PRJNA1130896,SRR29692941,1,United States,US,A.D.1.5,2023/12/25,2023-12-25,2023-12,USA,OR,Portland,"USA: Oregon, Columbia County",Oregon,0.9961247947454844,8566.424499178982,6314.0,2023-12-25,46,US-S46,2023-12|Oregon
PRJNA1130896,SRR29692982,2,United States,US,A.D.5.2,2023/12/25,2023-12-25,2023-12,USA,OR,Portland,"USA: Oregon, Clackamas County",Oregon,0.9679474548440066,1514.0302134646963,1199.0,2023-12-25,47,US-S47,2023-12|Oregon
PRJNA1130896,SRR29692991,2,United States,US,A.D.5.2,2023/12/25,2023-12-25,2023-12,USA,OR,Portland,"USA: Oregon, Yamhill County",Oregon,0.9986863711001642,11125.404137931037,9860.0,2023-12-25,48,US-S48,2023-12|Oregon
PRJNA1130896,SRR29692989,2,United States,US,A.D.5.2,2023/12/26,2023-12-26,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9961247947454844,4124.6498522167485,3385.0,2023-12-26,49,US-S49,2023-12|Oregon
PRJNA1130896,SRR29692818,2,United States,US,A.D.1.5,2023/12/27,2023-12-27,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9018062397372744,887.4500492610838,622.0,2023-12-27,50,US-S50,2023-12|Oregon
PRJNA1130896,SRR29692984,2,United States,US,A.D.5.2,2023/12/27,2023-12-27,2023-12,USA,OR,Portland,"USA: Oregon, Marion County",Oregon,0.9746469622331692,2210.905484400657,1250.0,2023-12-27,51,US-S51,2023-12|Oregon
PRJNA1130896,SRR29692985,3,United States,US,A.D.1.5,2023/12/27,2023-12-27,2023-12,USA,OR,Portland,"USA: Oregon, Lane County",Oregon,0.9998029556650246,16116.1147454844,13483.0,2023-12-27,52,US-S52,2023-12|Oregon
PRJNA1130896,SRR29692936,2,United States,US,A.D.5.2,2023/12/28,2023-12-28,2023-12,USA,OR,Portland,"USA: Oregon, Multnomah County",Oregon,0.9858128078817734,2026.2466995073887,1583.0,2023-12-28,53,US-S53,2023-12|Oregon
