project,project_label,SampleID,n_haplotypes,n_TreeCluster_branches,TreeCluster_combo,year_month,geo_stratum,clade,stratum,virus_clade
PRJNA1130896,United States,SRR29679851,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679852,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679854,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679864,2,2,C18+C21,2023-11,Oregon,A.D.1.5,2023-11|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29679874,2,2,C18+C21,2023-10,Oregon,A.D.1.5,2023-10|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692818,2,2,C18+C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692824,2,1,C8,2023-12,Oregon,A.D.1,2023-12|Oregon,A.D.1
PRJNA1130896,United States,SRR29692828,2,1,C3,2023-12,Oregon,A.D.1.9,2023-12|Oregon,A.D.1.9
PRJNA1130896,United States,SRR29692831,2,2,C18+C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692854,2,2,C18+C21,2024-02,Oregon,A.D.1.5,2024-02|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692857,2,2,C18+C21,2024-02,Oregon,A.D.1.5,2024-02|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692865,2,1,C18,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692873,2,1,C7,2023-12,Oregon,A.D.3.1,2023-12|Oregon,A.D.3.1
PRJNA1130896,United States,SRR29692875,2,2,C18+C21,2023-12,Washington,A.D.1.5,2023-12|Washington,A.D.1.5
PRJNA1130896,United States,SRR29692880,2,1,C16,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692881,2,1,C21,2023-12,Washington,A.D.1.5,2023-12|Washington,A.D.1.5
PRJNA1130896,United States,SRR29692884,2,1,C2,2024-01,Oregon,A.D.1.8,2024-01|Oregon,A.D.1.8
PRJNA1130896,United States,SRR29692887,2,1,C21,2024-01,Oregon,A.D.1.5,2024-01|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692889,2,2,C18+C21,2024-01,Oregon,A.D.1.5,2024-01|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692926,1,1,C16,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692928,2,1,C26,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692929,2,1,C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692933,2,2,C18+C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692935,1,1,C20,2024-01,Oregon,A.D.1.5,2024-01|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692936,2,1,C15,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692939,2,2,C18+C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692941,1,1,C20,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692943,2,1,C15,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692965,2,1,C23,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692967,2,1,C4,2023-12,Oregon,A.D.1.6,2023-12|Oregon,A.D.1.6
PRJNA1130896,United States,SRR29692974,2,2,C18+C21,2024-01,Washington,A.D.1.5,2024-01|Washington,A.D.1.5
PRJNA1130896,United States,SRR29692975,2,1,C24,2024-01,Oregon,A.D.5.2,2024-01|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692977,2,1,C13,2024-01,Oregon,A.D.3.4,2024-01|Oregon,A.D.3.4
PRJNA1130896,United States,SRR29692981,2,1,C25,2024-01,Oregon,A.D.5.2,2024-01|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692982,2,1,C15,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692984,2,1,C23,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692985,3,2,C18+C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29692989,2,1,C19,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692991,2,1,C15,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
PRJNA1130896,United States,SRR29692998,2,2,C18+C21,2023-12,Oregon,A.D.1.5,2023-12|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29693057,2,1,C21,2024-04,Oregon,A.D.1.5,2024-04|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29693058,2,2,C18+C21,2024-04,Oregon,A.D.1.5,2024-04|Oregon,A.D.1.5
PRJNA1130896,United States,SRR29693059,2,1,C5,2024-04,Oregon,A.D.5.1,2024-04|Oregon,A.D.5.1
PRJNA1130896,United States,SRR29693060,2,1,C11,2024-01,Oregon,A.D.3.3,2024-01|Oregon,A.D.3.3
